"predictor","agg","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B2_glcm_dissimilarity","agg4",0.333333333333333,1,0.333333333333333,1,-2.14697114010737,-2.14697114010737,3,-2.10817419354839,-2.12292258064516,1,-0.38,-0.38
"B2_glcm_entropy","agg1",0.333333333333333,1,0.333333333333333,1,-5.40167114010737,-5.40167114010737,3,-3.41487419354839,-3.3005,1,0.246,0.246
"B2_glcm_entropy","agg2",0.333333333333333,1,0.333333333333333,1,-6.77667114010737,-6.77667114010737,3,-4.29037419354839,-4.2321,1,-0.0739000000000001,-0.0739000000000001
"B2_glcm_entropy","agg4",0.333333333333333,1,0.333333333333333,1,-5.99257114010737,-5.99257114010737,3,-3.85490752688172,-3.8411,1,0.0573999999999999,0.0573999999999999
"B2_glcm_homogeneity","agg1",0.333333333333333,1,0.333333333333333,1,-8.29017114010737,-8.29017114010737,3,-6.26694086021505,-5.6396,1,-3.8271,-3.8271
"B2_glcm_homogeneity","agg2",0.333333333333333,1,0.333333333333333,1,-7.78427114010737,-7.78427114010737,3,-5.59257419354839,-4.5496,1,-2.7371,-2.7371
"B2_glcm_homogeneity","agg4",0.333333333333333,1,0.333333333333333,1,-4.62037114010737,-4.62037114010737,3,-4.10244086021505,-3.9874,1,-2.1749,-2.1749
"B3_CV","agg1",0.333333333333333,1,0.333333333333333,1,-2.09697114010737,-2.09697114010737,3,-4.06164086021505,-4.0148,1,-2.2023,-2.2023
"B3_CV","agg2",0.333333333333333,1,0.333333333333333,1,-1.97137114010737,-1.97137114010737,3,-3.93904086021505,-4.2156,1,-2.4031,-2.4031
"B3_CV","agg4",0.333333333333333,1,0.333333333333333,1,-1.48017114010737,-1.48017114010737,3,-3.34610752688172,-3.3831,1,-1.5706,-1.5706
"B3_RaoQ_w3","agg1",0.333333333333333,1,0.333333333333333,1,-3.11367114010737,-3.11367114010737,3,-2.39914086021505,-2.6426,1,0.3473,0.3473
