"predictor","Type","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","mean_diff_shannon","mean_diff_turnover","mean_diff_richness","rank_ss_S","rank_ss_T","rank_ss_R","ranksum_ss_X","rank_delta_S","rank_delta_T","rank_delta_R","ranksum_delta_X","ranksum"
"B3_CV","int_cit",0.333333333333333,NA,0.333333333333333,-0.0496600082195901,0,1.948,75,NA,91,166,145,140.5,66.5,352,518
"B3_CV","int_prox",0.125,NA,0.25,-0.00912378852676003,0,1.9505,16,NA,36,52,160,140.5,65,365.5,417.5
"B3_CV","semi_nat",0.375,NA,0.25,0.0981707384288001,0,4.42655,107,NA,36,143,126,140.5,13,279.5,422.5
"B3_RaoQ_w3","ext_prox",0.363636363636364,0.0909090909090909,0.272727272727273,1.02650433276213,5.33666153846154,2.01426666666667,93,7.5,65,165.5,37,11,48,96,261.5
"B3_RaoQ_w3","int_cit",0.666666666666667,0.333333333333333,0.333333333333333,-0.29164699606514,-0.239304347826087,1.3915,145,62.5,91,298.5,76,94,104,274,572.5
"B3_RaoQ_w3","int_prox",0.125,NA,0.25,-0.72942378852676,0,0.70855,16,NA,36,52,50,140.5,133,323.5,375.5
"B3_RaoQ_w3","semi_nat",0.25,0.125,0.375,-0.19169425317195,0.709314285714286,2.11383333333333,43,25,122,190,101,39,47,187,377
"B3_RaoQ_w5","ext_prox",0.363636363636364,0.0909090909090909,0.272727272727273,0.809779332762125,6.96396153846154,1.70213333333333,93,7.5,65,165.5,48,10,88,146,311.5
"B3_RaoQ_w5","int_cit",0.666666666666667,0.333333333333333,0.333333333333333,-0.23449699606514,-0.0742043478260871,1.3407,145,62.5,91,298.5,91,113,107,311,609.5
"B3_RaoQ_w5","int_prox",0.125,NA,0.25,-1.43442378852676,0,0.02135,16,NA,36,52,22,140.5,156,318.5,370.5
"B3_RaoQ_w5","semi_nat",0.25,0.125,0.375,-0.87884425317195,0.937614285714286,1.73183333333333,43,25,122,190,44,35,86,165,355
"B3_RaoQ_w7","ext_prox",0.363636363636364,0.0909090909090909,0.272727272727273,0.817604332762125,8.30386153846154,1.67233333333333,93,7.5,65,165.5,47,7,91,145,310.5
"B3_RaoQ_w7","int_cit",0.666666666666667,0.333333333333333,0.333333333333333,-0.09269699606514,0.0883956521739132,1.4617,145,62.5,91,298.5,128,110,102,340,638.5
"B3_RaoQ_w7","int_prox",0.25,0.125,0.375,-1.57100838614111,-0.219217647058823,-2.66416666666667,43,25,122,190,16,99,29,144,334
"B3_RaoQ_w7","semi_nat",0.25,0.125,0.375,-1.29489425317195,1.13241428571429,1.5194,43,25,122,190,24,34,97,155,345
"B3_RaoQ_w9","ext_prox",0.454545454545455,0.181818181818182,0.181818181818182,0.731003617704503,4.67642424749164,1.98465,115,40,12.5,167.5,49,13,54,116,283.5
"B3_RaoQ_w9","int_cit",1,0.666666666666667,0.666666666666667,-0.0161107478133068,-0.00637995169082156,-0.11665,161,98.5,156.5,416,155,116,150,421,837
"B3_RaoQ_w9","int_prox",0.25,0.125,0.375,-1.63745838614111,0.0803823529411768,-2.42476666666667,43,25,122,190,14,112,40,166,356
"B3_RaoQ_w9","semi_nat",0.25,0.125,0.375,-1.52419425317195,1.30051428571429,1.42256666666667,43,25,122,190,20,30,103,153,343
"B3_glcm_ASM","ext_prox",0.363636363636364,0.0909090909090909,0.181818181818182,0.193291395718697,-0.545324137931034,3.4936,93,7.5,12.5,113,100,44,22,166,279
"B3_glcm_ASM","int_cit",0.666666666666667,1,0.333333333333333,-0.246286117610165,-0.403119967793881,-1.9817,145,113,91,349,84,55,56,195,544
"B3_glcm_ASM","int_prox",0.125,NA,0.25,-0.01692378852676,0,1.97575,16,NA,36,52,153,140.5,60,353.5,405.5
"B3_glcm_ASM","semi_nat",0.375,0.25,0.5,-0.0158675116623632,-0.370842857142857,-1.252175,107,48.5,140.5,296,156,64,114,334,630
"B3_glcm_contrast","ext_prox",0.727272727272727,0.636363636363636,0.545454545454545,0.354769481481988,1.16331518183954,-4.01913333333333,155,91.5,145.5,392,73,33,18,124,516
"B3_glcm_contrast","int_cit",1,0.666666666666667,0.666666666666667,0.0610559188533596,0.530570048309178,0.0171999999999999,161,98.5,156.5,416,141,45,157,343,759
"B3_glcm_contrast","int_prox",0.75,0.875,0.625,1.65298702930798,2.06066730916143,-1.29182,157,108,150,415,12,21,111,144,559
"B3_glcm_contrast","semi_nat",0.5,0.875,0.625,1.59645282096543,2.73410715646692,-5.39672,123.5,108,150,381.5,15,15,3,33,414.5
"B3_glcm_dissimilarity","ext_prox",0.545454545454545,0.636363636363636,0.363636363636364,-0.103337918362142,-0.240852472245503,-3.222425,131,91.5,108,330.5,123,92,26,241,571.5
"B3_glcm_dissimilarity","int_cit",1,0.666666666666667,0.666666666666667,-0.13354408114664,-0.357529951690822,0.000800000000000023,161,98.5,156.5,416,115,66,160,341,757
"B3_glcm_dissimilarity","int_prox",0.625,0.75,0.5,-0.274253272335505,-0.208854805978336,-2.402175,134,105.5,140.5,380,78,100,41,219,599
"B3_glcm_dissimilarity","semi_nat",0.5,0.875,0.625,-0.35477217903457,-0.181321414961648,-7.28976,123.5,108,150,381.5,72,101,2,175,556.5
"B3_glcm_entropy","ext_prox",0.272727272727273,NA,0.272727272727273,0.240003880614183,0,2.64393333333333,60,NA,65,125,89,140.5,30,259.5,384.5
"B3_glcm_entropy","int_cit",0.666666666666667,1,0.333333333333333,-0.203336117610165,-0.372419967793881,-1.9329,145,113,91,349,98,63,71,232,581
"B3_glcm_entropy","int_prox",0.125,NA,0.25,-0.10652378852676,0,1.9356,16,NA,36,52,121,140.5,70,331.5,383.5
"B3_glcm_entropy","semi_nat",0.375,0.25,0.5,-0.0478008449956965,-0.369992857142857,-1.276675,107,48.5,140.5,296,146,65,112,323,619
"B3_glcm_homogeneity","ext_prox",0.363636363636364,0.272727272727273,0.363636363636364,-0.0763530249046699,-0.310553301127214,-2.751925,93,55,108,256,135,76,28,239,495
